sid;owner_name;owner_passportNum;owner_TIN(SSN);owner_email;owner_phone;property_type;property_area(square feet);property_location;property_distanceFromCenter (miles);property_numberBedrooms;property_numberBathrooms;property_pnumParking;property_centralHeating;property_airconditioned;property_basement;property_loft;property_sunExposure;property_requested_sale_rent_price;property_sale_rent_price (USD);commission(%);contract_duration(months);property_dateAnnounceRequest;property_dateofSale;type_business;store_ID;store_name;store_location;store_phonenumber;store_emailAddress
2;Chloe LYLE;711111112;111-11-0001;ChloeLYLE2155@yahoo.com;907-488-1420;house;1262;700 N Santa Claus Lane, North Pole, AK, 99705;43;3;3;2;Y;Y;Y;Y;S;181500;174345;5;NA;08/01/01;06/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
3;Olive VALLANCE;711111113;111-11-0002;OliveVALLANCE2155@gmail.com;907-488-1421;house;1786;73 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;31;3;4;2;Y;Y;Y;N;E;223500;218280;5;NA;08/01/01;29/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
20;Amber SANDISON;711111130;111-11-0019;AmberSANDISON2155@hotmail.com;907-488-1438;house;1339;1124 John Kalinas Rd,  NORTH POLE, AK, 99712;22;3;1;1;Y;Y;Y;N;N;134000;127248;5;NA;11/01/01;15/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
24;Imogen NEILSON;711111134;111-11-0023;ImogenNEILSON2155@hotmail.com;907-488-1442;apartment;1060;1128 John Kalinas Rd,  NORTH POLE, AK, 99712;38;3;2;2;Y;Y;N;N;E;1500;1500;7;6;11/01/01;19/01/01;rent;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
29;Victoria MEIGHAN;711111139;111-11-0028;VictoriaMEIGHAN2155@yahoo.com;907-488-1447;house;1600;1133 John Kalinas Rd,  NORTH POLE, AK, 99712;52;2;2;1;Y;Y;Y;Y;N;202500;200700;5;NA;11/01/01;26/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
34;Willow MCSHERRY;711111144;111-11-0033;WillowMCSHERRY2155@gmail.com;907-488-1452;house;1700;1138 John Kalinas Rd,  NORTH POLE, AK, 99712;43;4;3;2;Y;Y;Y;Y;W;160500;153590;5;NA;12/01/01;22/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
36;Sarah STILL;711111146;111-11-0035;SarahSTILL2155@yahoo.com;907-488-1454;house;2452;1140 John Kalinas Rd,  NORTH POLE, AK, 99712;20;4;4;3;Y;Y;Y;N;E;304000;303935;5;NA;12/01/01;07/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
55;Emilia MENZIES;711111165;111-11-0054;EmiliaMENZIES2155@gmail.com;907-488-1473;house;1360;1159 John Kalinas Rd,  NORTH POLE, AK, 99712;41;3;1;2;Y;Y;Y;N;W;125000;120920;5;NA;13/01/01;18/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
62;Lilly KIRK;711111172;111-11-0061;LillyKIRK2155@yahoo.com;907-488-1480;house;1111;1166 John Kalinas Rd,  NORTH POLE, AK, 99712;3;3;1;1;Y;N;Y;N;N;96000;94334;5;NA;15/01/01;12/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
67;Bella AIRD;711111177;111-11-0066;BellaAIRD2155@gmail.com;907-488-1485;house;2207;1171 John Kalinas Rd,  NORTH POLE, AK, 99712;53;3;3;2;Y;Y;Y;N;S;175000;173737;5;NA;15/01/01;03/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
